// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   4:00:45 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: 0.80856 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
-0.2	21.2225
-0.19	21.2225
-0.18	21.2107
-0.17	21.1869
-0.16	21.1159
-0.15	21.1041
-0.14	21.0922
-0.13	21.0803
-0.12	21.0685
-0.11	21.0212
-0.1	20.9975
-0.09	21.0212
-0.08	20.9382
-0.07	20.9382
-0.06	20.8909
-0.05	20.8909
-0.04	20.8791
-0.03	20.8197
-0.02	20.7606
-0.01	20.7369
0	20.6894
0.01	20.6775
0.02	20.6422
0.03	20.559
0.04	20.5118
0.05	20.4999
0.06	20.429
0.07	20.3578
0.08	20.3105
0.09	20.2868
0.1	20.2156
0.11	20.1565
0.12	20.0971
0.13	20.038
0.14	20.0143
0.15	19.9077
0.16	19.8602
0.17	19.7774
0.18	19.718
0.19	19.6352
0.2	19.6114
0.21	19.5049
0.22	19.4339
0.23	19.3508
0.24	19.2917
0.25	19.2205
0.26	19.1258
0.27	19.0192
0.28	18.9482
0.29	18.8889
0.3	18.7942
0.31	18.7113
0.32	18.6282
0.33	18.5098
0.34	18.4151
0.35	18.2966
0.36	18.2019
0.37	18.0597
0.38	17.9531
0.39	17.8228
0.4	17.6925
0.41	17.5978
0.42	17.4437
0.43	17.349
0.44	17.1949
0.45	17.0527
0.46	16.8514
0.47	16.7211
0.48	16.508
0.49	16.3539
0.5	16.1761
0.51	15.9748
0.52	15.7854
0.53	15.572
0.54	15.3232
0.55	15.1338
0.56	14.8613
0.57	14.6244
0.58	14.3756
0.59	14.0914
0.6	13.7833
0.61	13.5108
0.62	13.1555
0.63	12.8001
0.64	12.4804
0.65	12.125
0.66	11.6747
0.67	11.284
0.68	10.8102
0.69	10.3836
0.7	9.85043
0.71	9.32939
0.72	8.77249
0.73	8.1921
0.74	7.56423
0.75	6.90101
0.76	6.2494
0.77	5.51495
0.78	4.73327
0.79	3.91572
0.8	3.03908
0.81	2.18618
0.82	1.20321
0.83	0.219982
0.84	-0.822595
0.85	-1.94776
0.86	-3.10879
0.87	-4.32891
0.88	-5.54904
0.89	-6.88762
0.9	-8.23782
0.91	-9.68298
0.92	-11.1875
0.93	-12.6917
0.94	-14.3266
0.95	-16.0086
0.96	-17.7145
0.97	-19.4912
0.98	-21.3392
0.99	-23.2226
1	-25.2009
1.01	-27.2027
1.02	-29.252
1.03	-31.4197
1.04	-33.5875
1.05	-35.8264
1.06	-38.1364
1.07	-40.4698
1.08	-42.8628
1.09	-45.374
1.1	-47.8971
1.11	-50.4677
1.12	-53.0974
1.13	-55.7864
1.14	-58.5936
1.15	-61.3893
1.16	-64.2677
1.17	-67.2411
1.18	-70.2855
1.19	-73.3061
1.2	-76.4568
1.21	-79.6909
1.22	-82.9485
1.23	-86.3007
1.24	-89.7123
1.25	-93.2777
1.26	-96.8315
1.27	-100.504
1.28	-104.259
1.29	-108.144
1.3	-112.065
