// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   4:00:53 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: 0.80845 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
-0.2	20.9503
-0.19	20.9384
-0.18	20.9031
-0.17	20.9031
-0.16	20.8556
-0.15	20.8437
-0.14	20.8318
-0.13	20.7727
-0.12	20.7608
-0.11	20.749
-0.1	20.7252
-0.09	20.7252
-0.08	20.6896
-0.07	20.6661
-0.06	20.6661
-0.05	20.6424
-0.04	20.6068
-0.03	20.6305
-0.02	20.6068
-0.01	20.5477
0	20.5593
0.01	20.5121
0.02	20.4765
0.03	20.4646
0.04	20.4409
0.05	20.3818
0.06	20.4174
0.07	20.3224
0.08	20.3105
0.09	20.2633
0.1	20.2396
0.11	20.2039
0.12	20.1092
0.13	20.0855
0.14	20.062
0.15	19.9908
0.16	19.9552
0.17	19.8723
0.18	19.8605
0.19	19.7658
0.2	19.7302
0.21	19.6473
0.22	19.6236
0.23	19.517
0.24	19.4695
0.25	19.3985
0.26	19.3748
0.27	19.2919
0.28	19.2089
0.29	19.1023
0.3	19.0432
0.31	18.9957
0.32	18.8772
0.33	18.7707
0.34	18.6997
0.35	18.6166
0.36	18.5338
0.37	18.4153
0.38	18.2969
0.39	18.2259
0.4	18.0837
0.41	17.9652
0.42	17.8587
0.43	17.7402
0.44	17.6334
0.45	17.4558
0.46	17.3255
0.47	17.2308
0.48	17.053
0.49	16.9345
0.5	16.757
0.51	16.5911
0.52	16.3779
0.53	16.2357
0.54	16.0107
0.55	15.8566
0.56	15.6197
0.57	15.4182
0.58	15.2169
0.59	14.9681
0.6	14.7312
0.61	14.4705
0.62	14.1627
0.63	13.8902
0.64	13.5704
0.65	13.2385
0.66	12.9307
0.67	12.5516
0.68	12.1962
0.69	11.8171
0.7	11.3671
0.71	10.9761
0.72	10.5023
0.73	9.96913
0.74	9.45971
0.75	8.92681
0.76	8.34617
0.77	7.7183
0.78	7.03133
0.79	6.3681
0.8	5.62178
0.81	4.82798
0.82	4.03443
0.83	3.14591
0.84	2.18643
0.85	1.21508
0.86	0.18437
0.87	-0.893565
0.88	-2.07808
0.89	-3.33382
0.9	-4.57769
0.91	-5.91627
0.92	-7.36142
0.93	-8.87756
0.94	-10.4058
0.95	-11.9932
0.96	-13.7225
0.97	-15.523
0.98	-17.3472
0.99	-19.2781
1	-21.2445
1.01	-23.3175
1.02	-25.4024
1.03	-27.5939
1.04	-29.892
1.05	-32.2138
1.06	-34.6303
1.07	-37.1178
1.08	-39.653
1.09	-42.2945
1.1	-44.9242
1.11	-47.7317
1.12	-50.5273
1.13	-53.4176
1.14	-56.3673
1.15	-59.4471
1.16	-62.527
1.17	-65.7136
1.18	-68.9593
1.19	-72.3234
1.2	-75.7113
1.21	-79.1466
1.22	-82.7477
1.23	-86.3724
1.24	-90.1159
1.25	-93.9301
1.26	-97.7683
1.27	-101.796
1.28	-105.859
1.29	-110.04
1.3	-114.305
