// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   4:01:03 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: 0.80853 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
-0.2	16.9224
-0.19	16.8989
-0.18	16.9343
-0.17	16.8989
-0.16	16.8752
-0.15	16.8871
-0.14	16.8871
-0.13	16.8633
-0.12	16.8633
-0.11	16.9108
-0.1	16.8752
-0.09	16.8396
-0.08	16.8752
-0.07	16.8514
-0.06	16.8396
-0.05	16.8396
-0.04	16.8277
-0.03	16.8277
-0.02	16.7923
-0.01	16.7923
0	16.7567
0.01	16.7567
0.02	16.733
0.03	16.7211
0.04	16.7211
0.05	16.7211
0.06	16.6855
0.07	16.6502
0.08	16.6502
0.09	16.5671
0.1	16.5552
0.11	16.5552
0.12	16.508
0.13	16.4605
0.14	16.4723
0.15	16.3895
0.16	16.342
0.17	16.2829
0.18	16.2948
0.19	16.2117
0.2	16.1526
0.21	16.0579
0.22	16.0342
0.23	15.9511
0.24	15.9157
0.25	15.8326
0.26	15.7735
0.27	15.6788
0.28	15.6313
0.29	15.5603
0.3	15.4419
0.31	15.3588
0.32	15.2522
0.33	15.1575
0.34	15.0153
0.35	14.9325
0.36	14.8259
0.37	14.7074
0.38	14.5653
0.39	14.4349
0.4	14.3046
0.41	14.1268
0.42	14.0202
0.43	13.8189
0.44	13.6649
0.45	13.4636
0.46	13.2623
0.47	13.0251
0.48	12.812
0.49	12.5988
0.5	12.35
0.51	12.1013
0.52	11.8644
0.53	11.5565
0.54	11.2484
0.55	10.9405
0.56	10.6324
0.57	10.2651
0.58	9.94539
0.59	9.50694
0.6	9.12785
0.61	8.70152
0.62	8.21584
0.63	7.78927
0.64	7.25636
0.65	6.73507
0.66	6.16656
0.67	5.5743
0.68	4.93456
0.69	4.31856
0.7	3.61972
0.71	2.90901
0.72	2.16269
0.73	1.39263
0.74	0.563466
0.75	-0.301307
0.76	-1.18982
0.77	-2.12556
0.78	-3.10879
0.79	-4.13924
0.8	-5.2053
0.81	-6.31885
0.82	-7.45614
0.83	-8.68813
0.84	-9.97923
0.85	-11.2822
0.86	-12.6208
0.87	-14.1015
0.88	-15.523
0.89	-17.0985
0.9	-18.6977
0.91	-20.3204
0.92	-22.0262
0.93	-23.7911
0.94	-25.6035
0.95	-27.4871
0.96	-29.4298
0.97	-31.4197
0.98	-33.469
0.99	-35.6133
1	-37.7454
1.01	-39.996
1.02	-42.294
1.03	-44.6515
1.04	-47.0798
1.05	-49.5436
1.06	-52.0904
1.07	-54.661
1.08	-57.3025
1.09	-60.0388
1.1	-62.7872
1.11	-65.5825
1.12	-68.4729
1.13	-71.3632
1.14	-74.3957
1.15	-77.4282
1.16	-80.4726
1.17	-83.6591
1.18	-86.893
1.19	-90.1149
1.2	-93.3606
1.21	-96.7366
1.22	-100.136
1.23	-103.607
1.24	-107.078
1.25	-110.667
1.26	-114.268
1.27	-117.905
1.28	-121.577
1.29	-125.32
1.3	-129.123
