// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:26 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80857 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-63.0832
1.29	-75.2014
1.28	-82.4272
1.27	-86.6679
1.26	-88.8713
1.25	-89.5108
1.24	-89.0726
1.23	-87.6865
1.22	-85.6372
1.21	-83.1735
1.2	-80.2476
1.19	-77.1203
1.18	-73.7681
1.17	-70.2143
1.16	-66.5776
1.15	-62.8107
1.14	-59.0321
1.13	-55.1939
1.12	-51.3678
1.11	-47.5771
1.1	-43.7986
1.09	-40.0791
1.08	-36.3831
1.07	-32.7821
1.06	-29.2283
1.05	-25.7694
1.04	-22.4528
1.03	-19.2068
1.02	-16.0443
1.01	-13.1065
1	-10.3346
0.99	-7.6693
0.98	-5.11059
0.97	-2.77692
0.96	-0.644791
0.95	1.36889
0.94	3.20501
0.93	4.86359
0.92	6.35598
0.91	7.76578
0.9	8.9859
0.89	10.1111
0.88	11.0352
0.87	11.9
0.86	12.6698
0.85	13.3451
0.84	13.9611
0.83	14.5178
0.82	15.0153
0.81	15.4182
0.8	15.7854
0.79	16.117
0.78	16.4723
0.77	16.7805
0.76	17.0409
0.75	17.3015
0.74	17.5149
0.73	17.6569
0.72	17.8703
0.71	18.0834
0.7	18.2256
0.69	18.3794
0.68	18.5573
0.67	18.6638
0.66	18.7704
0.65	18.8889
0.64	19.0192
0.63	19.1258
0.62	19.2324
0.61	19.3392
0.6	19.4102
0.59	19.5049
0.58	19.5642
0.57	19.6708
0.56	19.7418
0.55	19.8365
0.54	19.8721
0.53	19.9196
0.52	19.9905
0.51	20.0618
0.5	20.0971
0.49	20.1683
0.48	20.1683
0.47	20.2631
0.46	20.2868
0.45	20.334
0.44	20.334
0.43	20.3696
0.42	20.4053
0.41	20.4762
0.4	20.4999
0.39	20.5237
0.38	20.5593
0.37	20.5947
0.36	20.6184
0.35	20.6184
0.34	20.6422
0.33	20.6659
0.32	20.7013
0.31	20.7013
0.3	20.7369
0.29	20.7606
0.28	20.7606
0.27	20.7725
0.26	20.7606
0.25	20.7962
0.24	20.7962
0.23	20.8316
0.22	20.8672
0.21	20.8434
0.2	20.8672
0.19	20.8434
0.18	20.8434
0.17	20.8672
0.16	20.8791
0.15	20.8672
0.14	20.9265
0.13	20.8909
0.12	20.9382
0.11	20.9382
0.1	20.9265
0.09	20.9028
0.08	20.9619
0.07	20.95
0.06	20.9975
0.05	20.9856
0.04	20.9856
0.03	20.9856
0.02	20.9856
0.01	20.9738
0	21.0094
-0.01	20.9738
-0.02	21.0094
-0.03	20.9975
-0.04	20.9975
-0.05	21.0331
-0.06	21.0212
-0.07	21.0094
-0.08	21.0094
-0.09	21.0094
-0.1	21.0094
-0.11	21.0331
-0.12	21.0566
-0.13	21.0331
-0.14	21.045
-0.15	21.0566
-0.16	21.0331
-0.17	21.0331
-0.18	21.0566
-0.19	21.0803
-0.2	21.0803
