// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:30 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80868 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-85.7567
1.29	-98.3724
1.28	-102.163
1.27	-102.116
1.26	-100.173
1.25	-97.2351
1.24	-93.6222
1.23	-89.6065
1.22	-85.342
1.21	-80.9828
1.2	-76.5404
1.19	-72.0512
1.18	-67.5616
1.17	-63.0956
1.16	-58.6891
1.15	-54.3534
1.14	-50.0416
1.13	-45.8127
1.12	-41.7376
1.11	-37.7103
1.1	-33.8365
1.09	-30.1526
1.08	-26.5041
1.07	-23.0215
1.06	-19.7521
1.05	-16.5774
1.04	-13.6277
1.03	-10.8321
1.02	-8.19059
1.01	-5.77407
1	-3.48788
0.99	-1.36737
0.98	0.492496
0.97	2.1983
0.96	3.77378
0.95	5.18333
0.94	6.48655
0.93	7.56449
0.92	8.60681
0.91	9.53093
0.9	10.2773
0.89	11.0352
0.88	11.6868
0.87	12.2318
0.86	12.7529
0.85	13.2385
0.84	13.6533
0.83	14.0914
0.82	14.4114
0.81	14.7787
0.8	15.0274
0.79	15.3591
0.78	15.6078
0.77	15.8329
0.76	16.0579
0.75	16.3067
0.74	16.4726
0.73	16.7095
0.72	16.8517
0.71	17.0174
0.7	17.1952
0.69	17.3846
0.68	17.5149
0.67	17.6809
0.66	17.7283
0.65	17.9296
0.64	18.0599
0.63	18.1428
0.62	18.2494
0.61	18.3916
0.6	18.4509
0.59	18.5931
0.58	18.6759
0.57	18.7707
0.56	18.8416
0.55	18.9129
0.54	18.9719
0.53	19.0551
0.52	19.1854
0.51	19.2326
0.5	19.3038
0.49	19.3867
0.48	19.4695
0.47	19.5407
0.46	19.5761
0.45	19.6473
0.44	19.6829
0.43	19.7658
0.42	19.8014
0.41	19.8605
0.4	19.8842
0.39	19.9079
0.38	20.0027
0.37	20.0383
0.36	20.0855
0.35	20.0974
0.34	20.1921
0.33	20.2158
0.32	20.2158
0.31	20.2277
0.3	20.2989
0.29	20.3105
0.28	20.3224
0.27	20.3105
0.26	20.358
0.25	20.3699
0.24	20.4292
0.23	20.4174
0.22	20.4409
0.21	20.4409
0.2	20.4765
0.19	20.4883
0.18	20.5121
0.17	20.5239
0.16	20.5477
0.15	20.5712
0.14	20.5712
0.13	20.5949
0.12	20.6187
0.11	20.6305
0.1	20.6424
0.09	20.6068
0.08	20.6187
0.07	20.6424
0.06	20.6305
0.05	20.6661
0.04	20.6305
0.03	20.6305
0.02	20.6778
0.01	20.7015
0	20.6896
-0.01	20.6543
-0.02	20.6543
-0.03	20.7134
-0.04	20.6896
-0.05	20.6778
-0.06	20.6896
-0.07	20.7252
-0.08	20.7252
-0.09	20.749
-0.1	20.7252
-0.11	20.7134
-0.12	20.7134
-0.13	20.749
-0.14	20.7252
-0.15	20.749
-0.16	20.7727
-0.17	20.7727
-0.18	20.7608
-0.19	20.7846
-0.2	20.7965
