// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   4:00:58 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80865 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-137.13
1.29	-137.036
1.28	-132.297
1.27	-126.718
1.26	-121.127
1.25	-115.642
1.24	-110.253
1.23	-105.029
1.22	-99.9113
1.21	-94.9479
1.2	-90.1386
1.19	-85.3768
1.18	-80.757
1.17	-76.2674
1.16	-71.8607
1.15	-67.5134
1.14	-63.3438
1.13	-59.1978
1.12	-55.1467
1.11	-51.2494
1.1	-47.4233
1.09	-43.7867
1.08	-40.1857
1.07	-36.7031
1.06	-33.3862
1.05	-30.1524
1.04	-27.0724
1.03	-24.0755
1.02	-21.268
1.01	-18.603
1	-16.0796
0.99	-13.675
0.98	-11.4244
0.97	-9.33949
0.96	-7.40866
0.95	-5.56091
0.94	-3.92608
0.93	-2.44531
0.92	-1.02389
0.91	0.24347
0.9	1.42824
0.89	2.48243
0.88	3.46566
0.87	4.38953
0.86	5.20707
0.85	5.90591
0.84	6.60475
0.83	7.24449
0.82	7.80114
0.81	8.35804
0.8	8.87907
0.79	9.30565
0.78	9.74384
0.77	10.1704
0.76	10.5258
0.75	10.8574
0.74	11.2127
0.73	11.5327
0.72	11.8525
0.71	12.0894
0.7	12.3619
0.69	12.5869
0.68	12.8357
0.67	13.0489
0.66	13.2739
0.65	13.4754
0.64	13.7005
0.63	13.8427
0.62	14.0084
0.61	14.2099
0.6	14.3165
0.59	14.4703
0.58	14.6125
0.57	14.7309
0.56	14.8969
0.55	14.9916
0.54	15.11
0.53	15.2285
0.52	15.3232
0.51	15.4419
0.5	15.5129
0.49	15.6194
0.48	15.6788
0.47	15.7498
0.46	15.7854
0.45	15.8564
0.44	15.9157
0.43	15.9867
0.42	16.0695
0.41	16.1407
0.4	16.1645
0.39	16.2354
0.38	16.2354
0.37	16.2829
0.36	16.3539
0.35	16.3895
0.34	16.4133
0.33	16.4367
0.32	16.4842
0.31	16.4842
0.3	16.5317
0.29	16.5317
0.28	16.5433
0.27	16.6145
0.26	16.6502
0.25	16.6264
0.24	16.6736
0.23	16.6618
0.22	16.6618
0.21	16.6974
0.2	16.7567
0.19	16.733
0.18	16.7449
0.17	16.7686
0.16	16.7567
0.15	16.7921
0.14	16.7805
0.13	16.7921
0.12	16.7686
0.11	16.7921
0.1	16.7805
0.09	16.8396
0.08	16.8158
0.07	16.8396
0.06	16.8158
0.05	16.8396
0.04	16.8514
0.03	16.8396
0.02	16.8277
0.01	16.8396
0	16.8277
-0.01	16.8158
-0.02	16.8277
-0.03	16.8277
-0.04	16.8277
-0.05	16.8752
-0.06	16.8989
-0.07	16.8752
-0.08	16.8989
-0.09	16.8277
-0.1	16.8752
-0.11	16.8871
-0.12	16.8989
-0.13	16.8752
-0.14	16.8989
-0.15	16.8752
-0.16	16.9105
-0.17	16.8871
-0.18	16.8989
-0.19	16.9105
-0.2	16.9224
