// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:10 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80858 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-173.899
1.29	-180.45
1.28	-179.798
1.27	-176.612
1.26	-172.395
1.25	-167.657
1.24	-162.776
1.23	-157.86
1.22	-152.838
1.21	-147.815
1.2	-142.887
1.19	-137.948
1.18	-133.044
1.17	-128.199
1.16	-123.46
1.15	-118.699
1.14	-114.091
1.13	-109.435
1.12	-104.981
1.11	-100.598
1.1	-96.1918
1.09	-91.9154
1.08	-87.7696
1.07	-83.6473
1.06	-79.6553
1.05	-75.8055
1.04	-72.0504
1.03	-68.3544
1.02	-64.8009
1.01	-61.3655
1	-58.0726
0.99	-54.8504
0.98	-51.7588
0.97	-48.8329
0.96	-45.9782
0.95	-43.2654
0.94	-40.6001
0.93	-38.1126
0.92	-35.7552
0.91	-33.4218
0.9	-31.2303
0.89	-29.1217
0.88	-27.0843
0.87	-25.1653
0.86	-23.2701
0.85	-21.5049
0.84	-19.8347
0.83	-18.1526
0.82	-16.6128
0.81	-15.061
0.8	-13.6277
0.79	-12.1942
0.78	-10.844
0.77	-9.54078
0.76	-8.23782
0.75	-7.06517
0.74	-5.89253
0.73	-4.74337
0.72	-3.66543
0.71	-2.59937
0.7	-1.55704
0.69	-0.585691
0.68	0.350304
0.67	1.25043
0.66	2.15082
0.65	2.95624
0.64	3.7854
0.63	4.53172
0.62	5.28991
0.61	5.96501
0.6	6.67597
0.59	7.29197
0.58	7.87236
0.57	8.41714
0.56	8.96216
0.55	9.50694
0.54	9.99262
0.53	10.3836
0.52	10.8574
0.51	11.2009
0.5	11.5681
0.49	11.9118
0.48	12.2553
0.47	12.5751
0.46	12.8951
0.45	13.132
0.44	13.4042
0.43	13.5939
0.42	13.8189
0.41	14.0558
0.4	14.269
0.39	14.3993
0.38	14.6009
0.37	14.7547
0.36	14.8731
0.35	15.0272
0.34	15.1813
0.33	15.3234
0.32	15.4654
0.31	15.5485
0.3	15.6551
0.29	15.7616
0.28	15.892
0.27	16.0223
0.26	16.046
0.25	16.1289
0.24	16.2117
0.23	16.2948
0.22	16.3658
0.21	16.4605
0.2	16.4961
0.19	16.5789
0.18	16.6145
0.17	16.6502
0.16	16.7093
0.15	16.733
0.14	16.7805
0.13	16.8158
0.12	16.8871
0.11	16.9108
0.1	16.958
0.09	16.958
0.08	16.958
0.07	16.9818
0.06	17.0055
0.05	17.0409
0.04	17.0646
0.03	17.1121
0.02	17.124
0.01	17.0884
0	17.1121
-0.01	17.1358
-0.02	17.1593
-0.03	17.2068
-0.04	17.1831
-0.05	17.1949
-0.06	17.1831
-0.07	17.2424
-0.08	17.2662
-0.09	17.2543
-0.1	17.2896
-0.11	17.2896
-0.12	17.3015
-0.13	17.349
-0.14	17.3609
-0.15	17.3846
-0.16	17.4437
-0.17	17.4912
-0.18	17.4912
-0.19	17.5503
-0.2	17.574
