// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:34 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80841 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-166.245
1.29	-173.744
1.28	-175.011
1.27	-173.684
1.26	-171.019
1.25	-167.619
1.24	-163.734
1.23	-159.6
1.22	-155.336
1.21	-151.012
1.2	-146.594
1.19	-142.234
1.18	-137.864
1.17	-133.54
1.16	-129.181
1.15	-124.976
1.14	-120.759
1.13	-116.648
1.12	-112.561
1.11	-108.581
1.1	-104.708
1.09	-100.905
1.08	-97.1503
1.07	-93.4783
1.06	-89.9363
1.05	-86.4184
1.04	-83.1015
1.03	-79.7611
1.02	-76.5748
1.01	-73.4592
1	-70.3794
0.99	-67.4773
0.98	-64.6225
0.97	-61.8032
0.96	-59.1263
0.95	-56.4847
0.94	-53.9616
0.93	-51.4977
0.92	-49.0693
0.91	-46.724
0.9	-44.4853
0.89	-42.2819
0.88	-40.1379
0.87	-38.0886
0.86	-36.0512
0.85	-34.0492
0.84	-32.1067
0.83	-30.235
0.82	-28.3988
0.81	-26.5865
0.8	-24.8572
0.79	-23.1988
0.78	-21.564
0.77	-19.9294
0.76	-18.3658
0.75	-16.8259
0.74	-15.2742
0.73	-13.8644
0.72	-12.4311
0.71	-11.0572
0.7	-9.71859
0.69	-8.40375
0.68	-7.10078
0.67	-5.89253
0.66	-4.68427
0.65	-3.49975
0.64	-2.39808
0.63	-1.34363
0.62	-0.289436
0.61	0.764758
0.6	1.72424
0.59	2.65998
0.58	3.5485
0.57	4.41327
0.56	5.21869
0.55	6.01249
0.54	6.73507
0.53	7.44578
0.52	8.10901
0.51	8.73688
0.5	9.32914
0.49	9.93327
0.48	10.4308
0.47	10.9284
0.46	11.3784
0.45	11.8287
0.44	12.196
0.43	12.6223
0.42	12.9895
0.41	13.2976
0.4	13.6411
0.39	13.9371
0.38	14.2096
0.37	14.494
0.36	14.7663
0.35	15.0151
0.34	15.2285
0.33	15.4654
0.32	15.6904
0.31	15.8798
0.3	16.093
0.29	16.2352
0.28	16.4367
0.27	16.5787
0.26	16.7209
0.25	16.9105
0.24	17.0053
0.23	17.1474
0.22	17.3013
0.21	17.3844
0.2	17.5265
0.19	17.6213
0.18	17.7516
0.17	17.8225
0.16	17.9173
0.15	18.0122
0.14	18.1069
0.13	18.1542
0.12	18.2726
0.11	18.332
0.1	18.3676
0.09	18.4029
0.08	18.486
0.07	18.5333
0.06	18.5807
0.05	18.6282
0.04	18.7229
0.03	18.7229
0.02	18.7939
0.01	18.8176
0	18.8295
-0.01	18.8886
-0.02	18.9242
-0.03	18.948
-0.04	18.9717
-0.05	19.0189
-0.06	19.0545
-0.07	19.0545
-0.08	19.102
-0.09	19.1849
-0.1	19.173
-0.11	19.2205
-0.12	19.2796
-0.13	19.3389
-0.14	19.3508
-0.15	19.4099
-0.16	19.4809
-0.17	19.5402
-0.18	19.5758
-0.19	19.6468
-0.2	19.6943
